time,plate_no,route_id,remain_seat_cnt,station_id,station_seq,extra
2026-03-10 06:30:00,경기70아8775,204000057,68,208000069,43,"""{\""vehId\"": 204000257, \""crowded\"": 0, \""stateCd\"": 1, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기77바1092,204000057,45,208000069,43,"""{\""vehId\"": 204000330, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아6227,204000057,39,208000254,46,"""{\""vehId\"": 204000137, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아6293,204000057,41,208000086,50,"""{\""vehId\"": 204000151, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기77바8419,204000057,34,209000110,54,"""{\""vehId\"": 204000394, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아6506,204000057,8,209000159,60,"""{\""vehId\"": 204003580, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기77바8420,204000057,14,277102796,64,"""{\""vehId\"": 204000395, \""crowded\"": 2, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아8879,204000057,30,206000536,67,"""{\""vehId\"": 204000300, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아8894,204000057,44,206000728,76,"""{\""vehId\"": 204000314, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:30:00,경기70아8895,204000057,44,205000214,84,"""{\""vehId\"": 204000315, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바1683,232000090,39,232000682,4,"""{\""vehId\"": 232000275, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바1684,232000090,7,232000828,8,"""{\""vehId\"": 232000276, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바1838,232000090,26,277103403,15,"""{\""vehId\"": 232001388, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바1685,232000090,39,113000420,24,"""{\""vehId\"": 232000277, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바8315,232000090,43,113000416,27,"""{\""vehId\"": 232010205, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바1682,232000090,40,277103401,34,"""{\""vehId\"": 232000274, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기79바8309,232000090,43,232000681,42,"""{\""vehId\"": 232010171, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2173,234000011,44,234000343,10,"""{\""vehId\"": 234000921, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바3408,234000011,29,234000335,21,"""{\""vehId\"": 234001337, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2006,234000011,16,234000466,30,"""{\""vehId\"": 234000789, \""crowded\"": 2, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2032,234000011,36,124000369,41,"""{\""vehId\"": 234000814, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2154,234000011,43,124000453,46,"""{\""vehId\"": 234000904, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2457,234000011,44,277102303,53,"""{\""vehId\"": 234001047, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바3419,234000011,57,124000365,57,"""{\""vehId\"": 234001348, \""crowded\"": 0, \""stateCd\"": 0, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2151,234000011,32,124000356,61,"""{\""vehId\"": 234000901, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2143,234000011,28,234000275,64,"""{\""vehId\"": 234000895, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2270,234000011,11,234000950,70,"""{\""vehId\"": 234000986, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1441,228000431,70,228002026,1,"""{\""vehId\"": 228010503, \""crowded\"": 0, \""stateCd\"": 2, \""lowPlate\"": 2, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1417,228000431,69,228000745,13,"""{\""vehId\"": 228010425, \""crowded\"": 0, \""stateCd\"": 1, \""lowPlate\"": 2, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1287,228000431,70,228000183,20,"""{\""vehId\"": 228000203, \""crowded\"": 0, \""stateCd\"": 0, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1189,228000431,50,228000157,31,"""{\""vehId\"": 228000154, \""crowded\"": 0, \""stateCd\"": 2, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1316,228000431,4,228002137,36,"""{\""vehId\"": 228000232, \""crowded\"": 2, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기76아2155,228000431,10,228000680,42,"""{\""vehId\"": 228010403, \""crowded\"": 2, \""stateCd\"": 1, \""lowPlate\"": 5, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1315,228000431,5,277104177,51,"""{\""vehId\"": 228000231, \""crowded\"": 2, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아5006,228000431,23,277103765,54,"""{\""vehId\"": 228000962, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 5, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1314,228000431,30,121000944,55,"""{\""vehId\"": 228000230, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바2906,234000995,34,233001450,3,"""{\""vehId\"": 234001292, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2922,234000995,50,233001562,6,"""{\""vehId\"": 234001306, \""crowded\"": 0, \""stateCd\"": 1, \""lowPlate\"": 2, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2908,234000995,26,277101908,8,"""{\""vehId\"": 234001294, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2928,234000995,14,277103361,11,"""{\""vehId\"": 234001309, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2917,234000995,32,277103386,14,"""{\""vehId\"": 234001303, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2914,234000995,29,277103679,16,"""{\""vehId\"": 234001300, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2907,234000995,37,121000086,21,"""{\""vehId\"": 234001293, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2939,234000995,39,277102911,23,"""{\""vehId\"": 234001320, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2910,234000995,39,277104385,29,"""{\""vehId\"": 234001296, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2046,234000995,43,277103387,31,"""{\""vehId\"": 234000828, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기77바2904,234000995,38,277103360,39,"""{\""vehId\"": 234001290, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 14}"""
2026-03-10 06:31:00,경기70아7094,204000057,38,205000231,5,"""{\""vehId\"": 204010358, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 1, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기78아1111,204000057,66,206000157,14,"""{\""vehId\"": 204000401, \""crowded\"": 0, \""stateCd\"": 2, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아6342,204000057,59,277103157,26,"""{\""vehId\"": 204000167, \""crowded\"": 0, \""stateCd\"": 0, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8785,204000057,66,209000131,32,"""{\""vehId\"": 204000262, \""crowded\"": 0, \""stateCd\"": 1, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8775,204000057,68,208000069,43,"""{\""vehId\"": 204000257, \""crowded\"": 0, \""stateCd\"": 1, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바1092,204000057,45,208000069,43,"""{\""vehId\"": 204000330, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8631,204000057,41,277101770,44,"""{\""vehId\"": 204000226, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아6227,204000057,39,208000156,47,"""{\""vehId\"": 204000137, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아6293,204000057,40,208000281,51,"""{\""vehId\"": 204000151, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바8419,204000057,27,209000135,55,"""{\""vehId\"": 204000394, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아6506,204000057,6,209000129,61,"""{\""vehId\"": 204003580, \""crowded\"": 2, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기77바8420,204000057,14,277102796,64,"""{\""vehId\"": 204000395, \""crowded\"": 2, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8879,204000057,30,206000537,68,"""{\""vehId\"": 204000300, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8894,204000057,44,206000478,77,"""{\""vehId\"": 204000314, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:31:00,경기70아8895,204000057,44,205000214,84,"""{\""vehId\"": 204000315, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바1683,232000090,28,232000682,4,"""{\""vehId\"": 232000275, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바1684,232000090,7,277102331,9,"""{\""vehId\"": 232000276, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바1838,232000090,26,277103403,15,"""{\""vehId\"": 232001388, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바1685,232000090,39,113000420,24,"""{\""vehId\"": 232000277, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바8315,232000090,43,113000416,27,"""{\""vehId\"": 232010205, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바1682,232000090,40,277103401,34,"""{\""vehId\"": 232000274, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기79바8309,232000090,44,232000708,44,"""{\""vehId\"": 232010171, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2173,234000011,44,234000343,10,"""{\""vehId\"": 234000921, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바3408,234000011,23,234000334,22,"""{\""vehId\"": 234001337, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2006,234000011,16,234000466,30,"""{\""vehId\"": 234000789, \""crowded\"": 2, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2032,234000011,36,124000360,42,"""{\""vehId\"": 234000814, \""crowded\"": 1, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2154,234000011,43,124000453,46,"""{\""vehId\"": 234000904, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2457,234000011,44,277102304,54,"""{\""vehId\"": 234001047, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바3419,234000011,57,124000365,57,"""{\""vehId\"": 234001348, \""crowded\"": 0, \""stateCd\"": 0, \""lowPlate\"": 2, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2151,234000011,24,124000356,61,"""{\""vehId\"": 234000901, \""crowded\"": 1, \""stateCd\"": 2, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2143,234000011,28,234000274,65,"""{\""vehId\"": 234000895, \""crowded\"": 1, \""stateCd\"": 0, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기77바2270,234000011,11,234000272,71,"""{\""vehId\"": 234000986, \""crowded\"": 2, \""stateCd\"": 1, \""lowPlate\"": 0, \""taglessCd\"": 1, \""routeTypeCd\"": 11}"""
2026-03-10 06:32:02,경기78아1441,228000431,70,228002026,1,"""{\""vehId\"": 228010503, \""crowded\"": 0, \""stateCd\"": 2, \""lowPlate\"": 2, \""taglessCd\"": 0, \""routeTypeCd\"": 11}"""
